scheme,n_paths,n_steps_per_year,n_steps,h,n_replications,rms,bias,time_seconds
ours,5000,1,4,1.0,50,0.002564330960843052,-0.0001666267450399056,0.22888666816288605
ours,10000,2,8,0.5,50,0.0019380777553894108,-0.00024969555873625564,0.8835147070931271
ours,20000,4,16,0.25,50,0.0014874003466981034,-0.0005039573044889407,3.418203250039369
ours,40000,8,32,0.125,50,0.0009858742873732488,-0.00041437336828390267,13.349971457850188
ours,80000,16,64,0.0625,50,0.000737406801031911,2.7616385817555155e-05,52.332456537056714
euler,50000,5,20,0.2,50,0.0014686716647563927,0.001138816260960641,0.8905122131109238
euler,50000,20,80,0.05,50,0.0009308253855472486,4.5881861991899364e-05,3.554583330231253
euler,50000,80,320,0.0125,50,0.0007891923457290078,-0.0001660678810128838,14.17327379208291
euler,50000,320,1280,0.003125,50,0.000767230655727649,-0.00015356621781461826,56.71107358299196
