maturity_T,exact_mean,simulated_mean,absolute_error,monte_carlo_standard_error,error_in_standard_errors,clamp_trigger_rate,n_paths_absorbed
1.0,100.0,99.99478294864397,0.005217051356027014,0.00890278211698372,0.5860023627978622,0.0,0
2.0,100.0,100.00985156295316,0.009851562953159032,0.012619748779665261,0.7806465188144851,0.0,0
3.0,100.0,99.99657723333672,0.0034227666632773435,0.01537684424873517,0.22259226977335644,0.0,0
4.0,100.0,100.00213198400971,0.0021319840097078213,0.01787172013194149,0.11929372181122073,0.0,0
5.0,100.0,99.9988291273552,0.001170872644806309,0.01992901629114564,0.058752154531908414,0.0,0
6.0,100.0,100.00405726987508,0.004057269875076486,0.021652837486737922,0.18737820747795803,0.0,0
7.0,100.0,99.98638312700133,0.013616872998667873,0.023389300534234377,0.5821838484967591,0.0,0
8.0,100.0,99.99143995903142,0.008560040968575322,0.025198137622391127,0.33970927125062006,0.0,0
9.0,100.0,99.97291367164448,0.027086328355522937,0.026800068431558573,1.0106813131725916,0.0,0
10.0,100.0,100.02931533245368,0.029315332453677456,0.027919818199478214,1.049982927690601,0.0,0
