scheme,n_paths,n_steps_per_year,n_steps,h,n_replications,rms,bias,time_seconds
frozen_left,5000,1,4,1.0,50,0.002546168812114257,2.4006485067687433e-06,0.450376126995252
frozen_left,10000,2,8,0.5,50,0.002034048160833041,-0.000503834794407744,1.6159095850161975
frozen_left,20000,4,16,0.25,50,0.0013548767752461766,-0.00046491311869623157,5.972262458024488
frozen_left,40000,8,32,0.125,50,0.0009416625446463118,-0.00016347160617282336,23.281560083029035
frozen_left,80000,16,64,0.0625,50,0.0006424972512035135,-8.117039861634617e-05,91.39067242103192
power_projected,5000,1,4,1.0,50,0.0027945867765012252,-0.0007465492363235338,0.46179016803216655
power_projected,10000,2,8,0.5,50,0.002226913660025993,-0.00041292676130311764,1.5823105000235955
power_projected,20000,4,16,0.25,50,0.001652446430795774,-4.1404234757904114e-05,6.016879708993656
power_projected,40000,8,32,0.125,50,0.001042326769291532,-2.829065238533768e-05,23.510655875019438
power_projected,80000,16,64,0.0625,50,0.0007060473393844659,-0.00029192066002437954,92.80087716200069
islah,5000,1,4,1.0,50,0.0023129530121597836,-0.0004071951721225742,0.4493911690224195
islah,10000,2,8,0.5,50,0.0019726886171445414,-0.00026673652556410716,1.6220705029991223
islah,20000,4,16,0.25,50,0.0013469658490786786,-0.00024002647037459302,6.059096796045196
islah,40000,8,32,0.125,50,0.0009623713508611521,-0.0001332416329830316,23.51034496003558
islah,80000,16,64,0.0625,50,0.0007811064831351872,-0.00033799753650788774,94.01765574902674
euler,5000,1,4,1.0,50,0.010606453133482336,0.01034179236458425,0.042929746021400206
euler,10000,2,8,0.5,50,0.004469561098204823,0.00391118231079213,0.11992054002621444
euler,20000,4,16,0.25,50,0.0022264369339595855,0.001715664780359801,0.47806254297029227
euler,40000,8,32,0.125,50,0.0009780476761644566,0.0005749740525015939,2.0650724999941303
euler,80000,16,64,0.0625,50,0.0007373415619537246,1.5641384192629226e-05,7.954569624977012
